booking_id,user_id,destination,travel_date,price,booking_platform
1,814,South Marcia,2025-07-01,756.96,Mobile App
2,42,New Eileenchester,2026-02-10,1836.61,Website
3,360,Patriciabury,2025-05-07,1834.52,Mobile App
4,731,North Heatherview,2025-11-19,475.23,Travel Agency
5,733,Traciland,2025-04-30,1092.65,Website
6,840,Alisonport,2025-10-28,574.59,Travel Agency
7,383,Annachester,2025-07-26,1178.76,Mobile App
8,893,West Kristie,2025-05-08,499.06,Mobile App
9,737,Charlesside,2025-12-31,1878.61,Website
10,11,Francisburgh,2025-06-04,1465.22,Website
11,858,Dustinview,2025-12-28,1077.29,Website
12,609,Christinaport,2025-05-04,698.78,Website
13,169,Obrienbury,2025-05-03,81.16,Mobile App
14,132,East Kirkbury,2025-10-16,630.17,Travel Agency
15,523,Richardsonmouth,2025-11-19,1903.47,Mobile App
16,472,Jeffreychester,2025-08-30,325.81,Website
17,313,Bridgesshire,2025-05-31,1490.96,Website
18,557,Tinashire,2025-10-23,1937.35,Mobile App
19,393,Doyleville,2025-11-23,350.03,Mobile App
20,438,Garciafort,2025-04-21,1968.29,Website
21,904,Flemingstad,2025-10-02,631.65,Travel Agency
22,889,Joshuafort,2025-03-15,1629.36,Mobile App
23,639,Davidburgh,2025-11-05,1729.71,Website
24,161,West Kelly,2025-11-07,645.22,Website
25,288,Port Andrewshire,2025-07-22,158.68,Website
26,781,Hillton,2026-02-02,844.12,Travel Agency
27,356,Mannmouth,2025-03-19,238.2,Travel Agency
28,523,New Patrickberg,2025-05-10,1935.14,Travel Agency
29,235,Schneiderburgh,2025-07-03,1252.06,Travel Agency
30,546,Schwartzmouth,2025-09-12,1406.96,Travel Agency
31,265,Thompsonview,2025-11-27,1536.98,Website
32,459,Garciaside,2025-09-25,471.32,Website
33,945,Riceborough,2025-07-11,1392.91,Mobile App
34,236,Johnsonborough,2025-06-08,1037.85,Mobile App
35,438,West Meghan,2025-10-16,1181.98,Mobile App
36,772,Port Kristina,2026-01-04,216.77,Website
37,613,Bonillamouth,2026-02-24,239.14,Mobile App
38,732,New Davidborough,2025-05-20,727.54,Travel Agency
39,449,Hernandeztown,2025-05-14,1401.93,Travel Agency
40,471,Kyleport,2025-08-04,1174.58,Website
41,593,South Ryanport,2025-08-14,1632.84,Website
42,907,Andersontown,2025-09-30,1845.87,Mobile App
43,758,South Misty,2026-01-29,1652.6,Travel Agency
44,940,Ericaburgh,2025-11-26,440.48,Travel Agency
45,969,Carolynborough,2025-09-01,433.14,Mobile App
46,386,Barrystad,2026-01-20,1078.03,Mobile App
47,222,Brendatown,2026-01-09,1082.95,Website
48,495,South Davidstad,2025-12-31,398.76,Mobile App
49,947,Davidburgh,2026-01-05,93.85,Travel Agency
50,363,New Lisamouth,2025-06-07,1671.94,Website
51,417,Olsonland,2025-07-02,1898.84,Travel Agency
52,313,Stephaniefort,2025-07-03,1275.44,Travel Agency
